Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
CORVETA JULIO DE NORONHA;791619;6;Material;791619-4/2025;Maquina de Gelo e Transformador 7000 va;Catálogo do Compras.gov.br;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;9197;MÁQUINA FABRICAR GELO;484182;CAPACIDADE DE PRODUÇÃO: 150, MATERIAL GABINETE: AÇO INOXIDÁVEL, TIPO GELO: CUBO, VOLTAGEM: 220;UN;1,0000;11173,9000;11173,9000;0,0000;17/03/2025
CORVETA JULIO DE NORONHA;791619;7;Material;791619-4/2025;Maquina de Gelo e Transformador 7000 va;Catálogo do Compras.gov.br;Material;5950;BOBINAS E TRANSFORMADORES;3144;AUTOTRANSFORMADOR;460076;POTÊNCIA NOMINAL: 5.000, TENSÃO NOMINAL: 220/110;UN;1,0000;274,9000;274,9000;0,0000;17/03/2025
CORVETA JULIO DE NORONHA;791619;1;Material;791619-3/2025;Aquisição de Insumos para o Departamento de Máquinas;Catálogo do Compras.gov.br;Material;8030;COMPOSTOS PRESERVATIVOS E VEDANTES;12184;SOLDA A FRIO;319756;APLICAÇÃO: SOLDAGEM / VEDAÇÃO / MOLDAGEM, APRESENTAÇÃO: MASSA, CARACTERÍSTICAS ADICIONAIS: REVESTIMENTO ANTICORROSIVO, 2 COMPONENTES, CONJUNT, COMPOSIÇÃO: EPÓXI POLIAMIDA;UN;10,0000;154,9400;1549,4000;0,0000;25/03/2025
CORVETA JULIO DE NORONHA;791619;2;Material;791619-3/2025;Aquisição de Insumos para o Departamento de Máquinas;Catálogo do Compras.gov.br;Material;6685;INSTRUMENTOS PARA MEDIÇÃO E CONTROLE DE PRESSÃO,TEMPERATURA E UMIDADE;12870;TRANSDUTOR DE PRESSÃO;483612;APLICAÇÃO: MONITORIZAÇÃO DE PRESSÃO, REFERÊNCIA: CHILLER CARRIER 30GX E 30HX;UN;1,0000;1939,0000;1939,0000;0,0000;25/03/2025
CORVETA JULIO DE NORONHA;791619;3;Material;791619-3/2025;Aquisição de Insumos para o Departamento de Máquinas;Catálogo do Compras.gov.br;Material;6135;BATERIAS NAO RECARREGÁVEIS;3463;BATERIA - COMPUTADOR;382497;CAPACIDADE NOMINAL: 220, MODELO: CR-2330, SISTEMA ELETROQUÍMICO: LITHIUM, TENSÃO ALIMENTAÇÃO: 3;UN;5,0000;67,5000;337,5000;0,0000;25/03/2025
CORVETA JULIO DE NORONHA;791619;4;Material;791619-3/2025;Aquisição de Insumos para o Departamento de Máquinas;Catálogo do Compras.gov.br;Material;6135;BATERIAS NAO RECARREGÁVEIS;3463;BATERIA - COMPUTADOR;382497;CAPACIDADE NOMINAL: 220, MODELO: CR-2330, SISTEMA ELETROQUÍMICO: LITHIUM, TENSÃO ALIMENTAÇÃO: 3;UN;5,0000;20,0000;100,0000;0,0000;25/03/2025
CORVETA JULIO DE NORONHA;791619;5;Material;791619-3/2025;Aquisição de Insumos para o Departamento de Máquinas;Catálogo do Compras.gov.br;Material;8030;COMPOSTOS PRESERVATIVOS E VEDANTES;9119;MANTA ASFÁLTICA;480518;ACABAMENTO: LÂMINA DE ALUMÍNIO, APLICAÇÃO: IMPERMEABILIZAÇÃO DE TELHADO, APRESENTAÇÃO: ROLO, COMPOSIÇÃO: POLIETILENO, COMPRIMENTO: 20, ESPESSURA: 2, LARGURA: 1,20;UN;30,0000;31,9000;957,0000;0,0000;25/03/2025
SERVICO DE ASSISTENCIA SOCIAL DA MARINHA - RJ;767100;2;Serviço;767100-2/2025;MUSICOTERAPIA;Catálogo do Compras.gov.br;Serviço;963;SERVIÇOS RELACIONADOS COM ATORES E OUTROS ARTISTAS;;;19976;MUSICOTERAPIA;-;19,0000;400,0000;7600,0000;0,0000;20/03/2025
SERVICO DE ASSISTENCIA SOCIAL DA MARINHA - RJ;767100;1;Material;767100-1/2025;CESTA BÁSICA;Catálogo do Compras.gov.br;Material;8940;ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS ALIMENTÍCIOS;;;;;-;0,0000;0,0000;729360,0000;0,0000;18/03/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;29;Soluções de TIC;718000-17/2025;Computadores e Notebooks;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;100000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;30;Soluções de TIC;718000-17/2025;Computadores e Notebooks;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;8000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;31;Soluções de TIC;718000-21/2025;Estabilizador de tensão;Catálogo do Compras.gov.br;Material;6110;EQUIPAMENTOS DE CONTROLE ELÉTRICO;;;;;-;0,0000;0,0000;2000,0000;0,0000;30/05/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;32;Soluções de TIC;718000-20/2025;Licenças de softwares;Catálogo do Compras.gov.br;Serviço;182;SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA;;;;;-;0,0000;0,0000;18000,0000;0,0000;30/05/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;33;Soluções de TIC;718000-19/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;7050;EQUIPAMENTOS DE REDE DE TIC - LOCAL E REMOTA;;;;;-;0,0000;0,0000;5000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;34;Soluções de TIC;718000-19/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;7060;PEÇAS E ACESSÓRIOS PARA COMPUTADORES;;;;;-;0,0000;0,0000;32000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;35;Soluções de TIC;718000-19/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;7090;SUPRIMENTOS DE INFORMÁTICA - TIC;;;;;-;0,0000;0,0000;8000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;36;Soluções de TIC;718000-19/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;7730;FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO;;;;;-;0,0000;0,0000;6000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;37;Soluções de TIC;718000-18/2025;Switch 48 portas;Catálogo do Compras.gov.br;Material;7050;EQUIPAMENTOS DE REDE DE TIC - LOCAL E REMOTA;;;;;-;0,0000;0,0000;10000,0000;0,0000;30/05/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;38;Material;718000-22/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;5805;EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO;;;;;-;0,0000;0,0000;8000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;39;Material;718000-22/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;7105;MOBILIÁRIO DOMÉSTICO;;;;;-;0,0000;0,0000;2000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;40;Material;718000-22/2025;Equipamentos de Informática;Catálogo do Compras.gov.br;Material;7720;PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS;;;;;-;0,0000;0,0000;200,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;1;Serviço;718000-12/2025;Manutenção de ar condicionado;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;18619;AR CONDICIONADO VEÍCULO - INSTALAÇÃO / MONTAGEM / MANUTENÇÃO;-;1,0000;30000,0000;30000,0000;0,0000;30/05/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;2;Serviço;718000-11/2025;Manutenção de elevador;Catálogo do Compras.gov.br;Serviço;546;SERVIÇOS DE INSTALAÇÃO;;;3557;INSTALAÇÃO / MANUTENÇÃO - ELEVADORES, ESCADAS ROLANTES, MON-TA - CARGAS / PLATAFORMA / ESCADAS;-;1,0000;18000,0000;18000,0000;0,0000;30/05/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;3;Material;718000-10/2025;Material de pintura e manutenção predial;Catálogo do Compras.gov.br;Material;5975;FERRAGENS E SUPRIMENTOS DE ELETRICIDADE;1572;ROLO PINTURA PREDIAL;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;4;Material;718000-10/2025;Material de pintura e manutenção predial;Catálogo do Compras.gov.br;Material;5975;FERRAGENS E SUPRIMENTOS DE ELETRICIDADE;4034;CABO ROLO DE PINTURA;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;5;Material;718000-10/2025;Material de pintura e manutenção predial;Catálogo do Compras.gov.br;Material;8010;TINTAS, VERNIZES E PRODUTOS CORRELATOS;12745;TINTA PINTURA PREDIAL;;;-;0,0000;0,0000;5000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;6;Material;718000-10/2025;Material de pintura e manutenção predial;Catálogo do Compras.gov.br;Material;8010;TINTAS, VERNIZES E PRODUTOS CORRELATOS;3306;BANDEJA PINTURA;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;7;Material;718000-10/2025;Material de pintura e manutenção predial;Catálogo do Compras.gov.br;Material;8010;TINTAS, VERNIZES E PRODUTOS CORRELATOS;12746;TINTA ESMALTE;;;-;0,0000;0,0000;2000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;8;Material;718000-10/2025;Material de pintura e manutenção predial;Catálogo do Compras.gov.br;Material;8010;TINTAS, VERNIZES E PRODUTOS CORRELATOS;11212;PRIMER;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;9;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;8540;ARTIGOS DE PAPEL PARA HIGIENE;10383;PAPEL HIGIÊNICO;;;-;0,0000;0,0000;1000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;10;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;8540;ARTIGOS DE PAPEL PARA HIGIENE;12792;TOALHA DE PAPEL;;;-;0,0000;0,0000;1000,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;11;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;715;ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES;;;-;0,0000;0,0000;200,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;12;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;13327;VASSOURA;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;13;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7630;FLANELA;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;14;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;14032;LIMPADOR VIDRO;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;15;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;10344;PANO LIMPEZA;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;16;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;14017;PÁ COLETORA LIXO;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;17;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;11781;RODO;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;18;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;6840;PESTICIDAS E DESINFETANTES;14487;DESINFETANTE;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;19;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;2166;ÁGUA SANITÁRIA;;;-;0,0000;0,0000;100,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;20;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;8510;PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR;14305;DESODORIZADOR SANITÁRIO;;;-;0,0000;0,0000;50,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;21;Material;718000-9/2025;Material de limpeza e conservação;Catálogo do Compras.gov.br;Material;8510;PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR;6109;DESODORANTE / AROMATIZANTE DE AMBIENTE;;;-;0,0000;0,0000;50,0000;0,0000;30/06/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;22;Serviço;718000-8/2025;Manutenção de viaturas;Catálogo do Compras.gov.br;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;3565;MANUTENÇÃO DE VEÍCULOS LEVES E PESADOS;-;1,0000;30000,0000;30000,0000;0,0000;30/05/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;23;Serviço;718000-7/2025;Seguro comercial de viaturas;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;30127;SEGURO AUTOMOTIVO;-;1,0000;8000,0000;8000,0000;0,0000;30/04/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;24;Serviço;718000-6/2025;Gás natural encanado;Catálogo do Compras.gov.br;Serviço;691;SERVIÇOS DE DISTRIBUIÇÃO DE ELETRICIDADE E DISTRIBUIÇÃO DE  GÁS ATRAVÉS DE TUBULAÇÃO;;;;;-;0,0000;0,0000;18000,0000;0,0000;31/03/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;25;Serviço;718000-5/2025;Dedetização;Catálogo do Compras.gov.br;Serviço;943;SERVIÇOS DE SANEAMENTO E SERVIÇOS SIMILARES;;;;;-;0,0000;0,0000;10000,0000;0,0000;28/03/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;27;Serviço;718000-3/2025;Inscrição no curso International Nuclear Law Essentials;Catálogo do Compras.gov.br;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;;;-;0,0000;0,0000;16000,0000;0,0000;28/03/2025
SECRETARIA NAVAL DE SEGURANçA N E QUALIDADE;718000;28;Serviço;718000-15/2025;Mobiliários;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;;;;;-;0,0000;0,0000;60000,0000;0,0000;30/05/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;100;Serviço;776000-13/2025;Contratação de Serviço de Buffet;Catálogo do Compras.gov.br;Serviço;632;SERVIÇOS DE FORNECIMENTO DE COMIDA;;;12807;BUFFET;-;400,0000;103,0000;41200,0000;0,0000;25/03/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;1;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5935;CONECTORES ELÉTRICOS;484;TOMADA;;;-;0,0000;0,0000;50,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;2;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;6145;FIOS E CABOS ELÉTRICOS;7533;FIO ELETRICO;339619;BITOLA: 2,5, COR: PRETA, MATERIAL CONDUTOR: COBRE, TENSÃO: 750, TIPO: FLEXÍVEL / CABINHO;RO;3,0000;280,0000;840,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;3;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5970;ISOLADORES ELÉTRICOS E MATERIAIS ISOLANTES;7592;FITA ISOLANTE ELÉTRICA;604732;APLICAÇÃO: INSTALAÇÕES ELÉTRICAS, COMPRIMENTO: 20, COR: PRETA, LARGURA: 19, MATERIAL BÁSICO: FILME DE PVC ANTICHAMA;RO;3,0000;13,5000;40,5000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;4;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5930;CHAVES ELÉTRICAS;472;INTERRUPTOR;601463;ACABAMENTO: COM PLACA E PARAFUSO, APLICAÇÃO: INSTALAÇÕES ELÉTRICAS, CARACTERÍSTICAS ADICIONAIS: CONJUGADO COMPLETO, CORRENTE NOMINAL: 20, FORMATO: RETANGULAR, MATERIAL: TERMOPLÁSTICO AUTO-EXTINGUÍVEL, POSIÇÃO RELATIVA: SOBREPOR, QUANTIDADE SEÇÕES: 2, TENSÃO NOMINAL: 220, TIPO: BIPOLAR  SIMPLES, TIPO ACIONAMENTO: TECLA SIMPLES VERTICAL;UN;5,0000;35,0000;175,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;5;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;6240;LÂMPADAS ELÉTRICAS;19095;LÂMPADA LED;617342;ABERTURA FACHO: 120º, COMPRIMENTO: 1200, FLUXO LUMINOSO: 1800, FORMATO: TUBULAR T8, MODELO: LED, POTÊNCIA NOMINAL: 18 A 20, TEMPERATURA DE COR: 6500, TENSÃO NOMINAL: BIVOLT 90/265, TIPO BASE: G13, TIPO BULBO: T8, VIDA MÉDIA: 40.000, ÍNDICE DE REPRODUÇÃO DE COR - IRC: MÍNIMO 80%;UN;25,0000;18,0000;450,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;6;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;6240;LÂMPADAS ELÉTRICAS;19095;LÂMPADA LED;617340;APLICAÇÃO: AMBIENTE INTERNO, FATOR POTÊNCIA: > 0,7, FLUXO LUMINOSO: 800, FORMATO: COMPACTA, FREQUÊNCIA NOMINAL: 60, GRAU PROTEÇÃO: IP20 (USO INTERNO), MODELO: LED, POTÊNCIA NOMINAL: 10, TENSÃO NOMINAL: BIVOLT, TIPO BASE: E-27, TIPO BULBO: LEITOSO;UN;5,0000;25,0000;125,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;7;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;6140;BATERIAS RECARREGÁVEIS;3475;BATERIA RECARREGÁVEL;601097;APLICAÇÃO: EQUIPAMENTOS ELETRÔNICOS, CAPACIDADE NOMINAL 1: 450, SISTEMA ELETROQUÍMICO: NI-MH, TENSÃO NOMINAL: 9;UN;3,0000;45,0000;135,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;8;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5920;FUSÍVEIS INTERRUPTORES, ISOLANTES E PROTETORES;19146;PROTETOR CONTRA SURTO DE TENSÃO;612497;APLICAÇÃO: SISTEMAS DE ENERGIA SOLAR, CARACTERÍSTICAS ADICIONAIS: ANTI-CHAMA, CORRENTE MÁXIMA SURTO: 20/40, ESTRUTURA: PLASTICA, MODELO: DPS CC 3P, TENSÃO NOMINAL: 15.000;UN;5,0000;59,0000;295,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;9;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;6230;EQUIPAMENTOS DE ILUMINAÇÃO ELÉTRICA MANUAL E PORTÁTIL;8712;LANTERNA ELÉTRICA;617634;ACESSÓRIOS: CARREGADOR 110/220V E ADAPTADOR 12V PARA CARRO, APLICAÇÃO: ILUMINAÇÃO, CARACTERÍSTICAS ADICIONAIS: DUAS ALCAS SENDO UMA EM NAYLON PARA TRANSPORTE, COR: VERMELHA E PRETA, FORMATO: RETANGULAR, LUMINOSIDADE: 200, MATERIAL: PLÁSTICO ABS REFORÇADO, LENTE POLICARBONATO RESIST, QUANTIDADE LÂMPADAS: 25, TAMANHO: 20 X 12 X 14, TENSÃO NOMINAL: 110/220, TIPO: PORTÁTIL, RECARREGÁVEL, TIPO BATERIA: RECARREGÁVEL, TIPO LÂMPADA: LED;UN;2,0000;60,0000;120,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;10;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5133;BROCAS, ALARGADORES, ESCARIADORES, MANUAIS E PARA USO EM  MÁQUINAS;18615;CONJUNTO BROCA;613884;APLICAÇÃO: CONCRETO, CARACTERÍSTICAS ADICIONAIS: PONTA DE VÍDEA, COMPONENTES: 4 PEÇAS 6 , 8 , 10 E 12 MM, MATERIAL: AÇO CARBONO, TIPO: HELICOIDAL;UN;1,0000;40,0000;40,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;11;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5133;BROCAS, ALARGADORES, ESCARIADORES, MANUAIS E PARA USO EM  MÁQUINAS;18615;CONJUNTO BROCA;601252;APLICAÇÃO: METAL, CARACTERÍSTICAS ADICIONAIS: COM ESTOJO METÁLICO, COMPONENTES: 25 PEÇAS: 1, 1,5, 2, 2,5, 3, 3,5, 4, 4,5, 5, 5,5,, MATERIAL: AÇO RÁPIDO, TIPO: BITS/BROCAS;UN;1,0000;40,0000;40,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;12;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5133;BROCAS, ALARGADORES, ESCARIADORES, MANUAIS E PARA USO EM  MÁQUINAS;18615;CONJUNTO BROCA;468763;APLICAÇÃO: MADEIRA, COMPONENTES: 7 PEÇAS DE 3, 4, 5, 6, 7, 8  E 10MM, MATERIAL: AÇO, TIPO: CILÍNDRICA COM 3 PONTAS;UN;1,0000;40,0000;40,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;13;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;8040;ADESIVOS;2107;ADESIVO USO GERAL;479057;APLICAÇÃO: FIXAÇÃO ESTRUTURAL, APRESENTAÇÃO: PASTA, CARACTERÍSTICAS ADICIONAIS: ADESIVO BICOMPONENTE, COMPOSIÇÃO: PARTE A: AMINA, PARTE B: ÉPOXI;TBO;2,0000;39,0000;78,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;14;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;5330;GAXETAS E OUTROS MATERIAIS PARA VEDAÇÃO;552;ANEL VEDAÇÃO;;;-;0,0000;0,0000;80,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;15;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;8030;COMPOSTOS PRESERVATIVOS E VEDANTES;18071;FITA ADESIVA;463228;COMPRIMENTO: 30, LARGURA: 12, MATERIAL: ACETATO, TIPO: MONOFACE;UN;2,0000;5,0000;10,0000;0,0000;30/12/2025
DIRETORIA DE ADMINISTAÇÃO DA MARINHA;776000;16;Material;776000-2/2025;Aquisição de Materias de Serviços Gerais e Manutenção;Catálogo do Compras.gov.br;Material;8030;COMPOSTOS PRESERVATIVOS E VEDANTES;18071;FITA ADESIVA;304471;APLICAÇÃO: FIXAÇÃO TOMADAS E CANALETAS EM DIVISÓRIAS, CARACTERÍSTICAS ADICIONAIS: FITA BANANA ESPONJOSA, COMPRIMENTO: 20, COR: BRANCA, ESPESSURA: 16, LARGURA: 19, MATERIAL: POLIURETANO, TIPO: DUPLA FACE;UN;1,0000;110,0000;110,0000;0,0000;30/12/2025
