"CODOM"|"UASG"|"NOMEOM"|"SIGLAOM"|"INDICATIVOOM"|"UF"|"AREAOM"|"COD_OM_COMIMSUP"|"SITUACAO"
"0070"|"712000"|SECRETARIA DA COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR|SECIRM|SECIRM|DF|SÉTIMO DN|299.0|1
"0071"|"762410"|AVISO DE INSTRUÇÃO ASPIRANTE NASCIMENTO|AVINASPNASC|AVINAS|RJ|PRIMEIRO DN|525.0|1
"0072"|"762411"|AVISO DE INSTRUÇÃO GUARDA MARINHA JANSEN|AVINGMJANSEN|AVIJAN|RJ|PRIMEIRO DN|525.0|1
"0073"|"762412"|AVISO DE INSTRUÇÃO GUARDA MARINHA BRITO|AVINGMBRITO|AVIBRT|RJ|PRIMEIRO DN|525.0|1
"0084"|"782100"|COMANDO DA FORÇA DE MINAGEM E VARREDURA|COMFORMINVAR|FORVAR|BA|SEGUNDO DN|640.0|1
"0085"|"782115"|NAVIO-VARREDOR ARATU|NVARATU|NVARAT|BA|SEGUNDO DN|84.0|1
"0087"|"782117"|NAVIO-VARREDOR ATALAIA|NVATALAIA|NVATLA|BA|SEGUNDO DN|84.0|1
"0088"|"782118"|NAVIO-VARREDOR ARAÇATUBA|NVARACATUBA|NVTUBA|BA|SEGUNDO DN|84.0|1
"0093"|"731050"|BATALHÃO NAVAL|BTLNAV|BATNAV|RJ|PRIMEIRO DN|282.0|1
"0097"|"791602"|NAVIO-ESCOLA BRASIL|NEBRASIL|NEBRSL|RJ|PRIMEIRO DN|191.0|1
"0101"|"751201"|NAVIO DE APOIO OCEANOGRÁFICO ARY RONGEL|NAPOCARONGEL|NAOARO|RJ|PRIMEIRO DN|269.0|1
"0102"|"751203"|NAVIO OCEANOGRÁFICO ANTARES|NOCANTARES|NOCANT|RJ|PRIMEIRO DN|269.0|1
"0105"|"788118"|NAVIO DE ASSISTÊNCIA HOSPITALAR OSWALDO CRUZ|NASHOCRUZ|NASHOC|AM|NONO DN|721.0|1
"0106"|"788119"|NAVIO DE ASSISTÊNCIA HOSPITALAR CARLOS CHAGAS|NASHCCHAGAS|NASHCC|AM|NONO DN|721.0|1
"0111"|"760001"|SERVIÇO DE ASSISTÊNCIA RELIGIOSA DA MARINHA|SARM|SVCARM|RJ|PRIMEIRO DN|532.0|1
"0115"|"789331"|NAVIO BALIZADOR FAROLEIRO MARIO SEIXAS|NBFMSEIXAS|NBFLMS|PR|OITAVO DN|1254.0|1
"0116"|"783401"|ESTAÇÃO RADIOGONIOMÉTRICA DA MARINHA EM NATAL|ERMN|ERMNAT|RN|TERCEIRO DN|680.0|1
"0120"|"710200"|EMPRESA GERENCIAL DE PROJETOS NAVAIS|EMGEPRON|EGPRON|RJ|PRIMEIRO DN|299.0|1
"0122"|"753000"|INSTITUTO DE ESTUDOS DO MAR ALTE PAULO MOREIRA|IEAPM|IEMAPM|RJ|PRIMEIRO DN|1169.0|1
"0126"|"791619"|CORVETA JULIO DE NORONHA|CVJNORONHA|CVJULI|RJ|PRIMEIRO DN|352.0|1
"0127"|"791530"|SUBMARINO TUPI|STUPI|SBTUPI|RJ|PRIMEIRO DN|34.0|1
"0129"|"783123"|REBOCADOR DE ALTO-MAR TRIUNFO|RBAMTRIUNFO|RTRNFO|RN|TERCEIRO DN|1021.0|1
"0130"|"785101"|REBOCADOR DE ALTO-MAR TRITÃO|RBAMTRITAO|RTRTAO|RS|QUINTO DN|1019.0|1
"0143"|"784513"|NAVIO HIDROCEANOGRÁFICO GARNIER SAMPAIO|NHOGSAMPAIO|NHOGSA|PA|QUARTO DN|1174.0|1
"0145"|"744000"|DIRETORIA DE SISTEMAS DE ARMAS DA MARINHA|DSAM|SISARM|RJ|PRIMEIRO DN|506.0|1
"0149"|"785800"|ESTAÇÃO NAVAL DO RIO GRANDE|ENRG|ESNVRG|RS|QUINTO DN|760.0|1
"0150"|"765730"|CENTRO DE PERÍCIAS MÉDICAS DA MARINHA|CPMM|PERMED|RJ|PRIMEIRO DN|508.0|1
"0159"|"795390"|COMPANHIA DE POLÍCIA|CIAPOL|CIAPOL|RJ|PRIMEIRO DN|588.0|1
"0184"|"702050"|COMANDO DA DEFESA AEROESPACIAL BRASILEIRA|COMDABRA|COMDABRA|DF|SÉTIMO DN||1
"0186"|"773200"|PAGADORIA DE PESSOAL DA MARINHA|PAPEM|PAGPEM|RJ|PRIMEIRO DN|5.0|1
"0189"|"791700"|COMANDO DA 1ª DIVISÃO DA ESQUADRA|COMDIV-1|PRIESQ|RJ|PRIMEIRO DN|593.0|1
"1150"|"730010"|CENTRO DE DEFESA NUCLEAR, BIOLÓGICA, QUÍMICA E RADIOLÓGICA DA MB|CDEFNBQR-MB|CDNBQR|RJ|PRIMEIRO DN|581.0|1
"0002"|"791800"|BASE NAVAL DO RIO DE JANEIRO|BNRJ|BNARIO|RJ|PRIMEIRO DN|593.0|1
"0004"|"771000"|DIRETORIA DE ABASTECIMENTO DA MARINHA|DABM|ABASTC|RJ|PRIMEIRO DN|837.0|1
"0005"|"773000"|DIRETORIA DE FINANÇAS DA MARINHA|DFM|FINANS|RJ|PRIMEIRO DN|837.0|1
"0006"|"767100"|SERVIÇO DE ASSISTÊNCIA SOCIAL DA MARINHA|SASM|SVCASS|RJ|PRIMEIRO DN|211.0|1
"0010"|"787310"|CAPITANIA FLUVIAL DO ARAGUAIA-TOCANTINS|CFAT|CFATOC|TO|SÉTIMO DN|830.0|1
"0011"|"712100"|ESTAÇÃO ANTÁRTICA COMANDANTE FERRAZ|EACOMTEFERRAZ|ESANCF||EXTERIOR|70.0|1
"0013"|"785332"|DELEGACIA FLUVIAL DE URUGUAIANA|DELURUGUAIANA|DLURUG|RS|QUINTO DN|765.0|1
"0014"|"788317"|AGÊNCIA FLUVIAL DE TEFÉ|AGTEFE|AGTEFE|AM|NONO DN|725.0|1
