"noau_cd_id"|"stat_cd_id"|"noau_cd_om"|"noau_ds_assunto"|"noau_tx_numero_na"|"qtde_prorrogacoes"
10316|8|"0536"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1621-4/2024"|1
2354|8|"1175"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"927-4/2023"|1
9536|8|"0570"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1290-4/2024"|1
12160|1|"0577"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2711-4/2024"|1
2924|1|"1280"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"694-1/2023"|1
9066|1|"0053"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"379-1/2024"|1
6837|8|"1069"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"5-4/2024"|1
359|1|"1071"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"122-4/2023"|1
11478|1|"0518"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2431-4/2024"|2
11283|1|"0518"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2276-4/2024"|1
8699|1|"1071"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"977-4/2024"|4
4034|1|"1064"|NOTA DE AUDITORIA - ORÇAMENTÁRIA E FINANCEIRA|"945-1/2023"|1
13114|8|"0307"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"259-4/2025"|1
11085|1|"0384"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2128-4/2024"|1
543|8|"0145"|NOTA DE AUDITORIA - MUNICIAMENTO|"32-6/2023"|1
6320|8|"0559"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2227-4/2023"|3
11348|1|"0383"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"2337-4/2024"|1
4401|8|"1271"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1510-4/2023"|1
4059|8|"1073"|NOTA DE AUDITORIA - RECURSOS HUMANOS|"1357-4/2023"|1
2805|1|"0570"|NOTA DE AUDITORIA - COMPRAS, CONTRATAÇÕES E ACORDOS ADMINISTRATIVOS|"419-2/2023"|1
